id,name,link,image,position
1,D1 Mini,https://amzn.eu/d/3oHPOD6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbwWKahS3kl18uNLl0g7hT8pwSZLZOQcLwxCua9J5KKTukwxTbdD_hpDk1Bkw78vlWorg&usqp=CAU,"1,58"
2,ESP-32S,https://amzn.eu/d/4ocC1VW,https://m.media-amazon.com/images/I/61ezFmp2wZL._AC_SL1001_.jpg,"1,59"
3,Raspberry Pi Pico,https://thepihut.com/products/raspberry-pi-pico?variant=41925332533443&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gclid=CjwKCAjwrdmhBhBBEiwA4Hx5g1hEKQBwgBD_-xO2UcrnpboioVi0IbvW5pJUCpa7Wz9heLBQN4utnBoC8S8QAvD_BwE,https://cdn.shopify.com/s/files/1/0176/3274/products/raspberry-pi-pico-raspberry-pi-sc0915-23240164475075_700x.jpg?v=1646236269,"1,58"
4,Turbidity Sensor,https://thepihut.com/products/gravity-analog-turbidity-sensor-for-arduino,https://cdn.shopify.com/s/files/1/0176/3274/products/gravity-analog-turbidity-sensor-for-arduino-dfrobot-sen0189-28601689669827_700x.jpg?v=1646514367,"1,57"
5,Load Cell Weight Sensor,https://www.amazon.co.uk/dp/B093S2LHCS?psc=1&ref=ppx_yo2ov_dt_b_product_details,https://m.media-amazon.com/images/I/61QZZfWNd+S._SL1500_.jpg,"1,38"
6,Boost Converter 2V-24V,https://www.amazon.co.uk/dp/B0BCYBQK5C?psc=1&ref=ppx_yo2ov_dt_b_product_details,https://m.media-amazon.com/images/I/51uD6HZtejL._SL1000_.jpg,"1,3"
8,5mm LED Light,https://www.amazon.co.uk/dp/B0897L6TZ8?psc=1&ref=ppx_yo2ov_dt_b_product_details,https://m.media-amazon.com/images/I/6100KbtUlRL._SL1200_.jpg,"1,49"
9,Toggle Switch ON/ON,https://www.amazon.co.uk/gp/product/B07RVJHJ5B/ref=ppx_yo_dt_b_asin_title_o04_s00?ie=UTF8&psc=1,https://m.media-amazon.com/images/I/61y7gB9yoZL._AC_SL1500_.jpg,"1,41"
10,Relay Module,https://www.amazon.co.uk/WINGONEER-KY-019-Channel-Module-arduino/dp/B06XHJ2PBJ/ref=sr_1_5?crid=1DQ5W6JO69VSN&keywords=relay+arduino&qid=1681737877&sprefix=rlay+ardwino%2Caps%2C55&sr=8-5,https://m.media-amazon.com/images/I/51i-jNHoLSL._AC_SL1000_.jpg,"1,54"
